hour,small_part,med_part,sulf_diox,nitr_diox,trioxygen,temp,pres,rain,wind,wind_sp,day,month,year,carb_monox
23,13,43,1,19,29,7.6,1021.3,0,NNW,2.5,23,Oct,2014,200
21,77,115,31,74,10,0,1015,0,W,0.7,9,Jan,2016,2100
21,86,141,9,43,198,29.3,1000.9,0,SSE,0.4,11,Jul,2016,700
11,,,,,20,14.2,1015.2,0,ESE,1.9,29,Oct,2015,1222.923
0,77,57,41,48,16,-1,1024.2,0,SSW,1.3,7,Feb,2015,1300
9,,,,,,-5.1,1026,0,ENE,0.8,20,Dec,2015,1222.923
19,104,104,2,18,158,27.4,996.8,0,E,1.3,20,Jul,2016,800
21,6,6,4,13,69,0.7,1022.7,0,NE,2.4,22,Dec,2017,200
1,78,113,6,54,67.6872,25.1,996.6,0,NNW,0.8,4,Aug,2014,1222.923
5,81,26,8,36,2,19.1,999.3,0.4,NNW,1.4,9,Jun,2014,1500
3,262,205,,59.3317,17.7786,14,1014.2,0,N,0,6,Oct,2014,1222.923
17,14,27,4,11,82,9.2,1015.5,0,NNW,3.8,9,Apr,2014,400
19,279,279,54,163,34,7.1,1013.5,0,WNW,2.4,4,Feb,2018,3300
17,101,131,2,83,23,15.6,1012.3,0,N,1.2,12,Oct,2017,1600
12,439,488,42,155,6,1.5,1009.3,0,SW,1.1,1,Dec,2016,8500
15,35,35,4,19,193,31.2,1008.5,0,WSW,1.2,15,Sep,2017,500
4,10,31,3,9,86,5.3,1009.2,0,NW,4.4,9,Apr,2014,300
23,21,26,4,27,46,4.4,1018.5,0,NE,1.4,30,Nov,2017,800
9,34,34,2,31,60,21.9,1000.8,0,NE,1.2,15,Jul,2017,600
1,23,,3,9,78,20.6,990.8,0,E,0.5,5,Aug,2014,400
16,35,61,2,11,215,33.9,999.3,0,SE,1.7,21,Aug,2017,800
0,164,104,16,82,,7,1017.9,0,WNW,0.7,2,Nov,2014,1300
20,318,391,104,151,2,-0.8,1027,0,NE,1.2,9,Dec,2015,6500
5,45,46,17,48,12,18.2,1012,0.1,NNW,1,6,Sep,2014,1400
21,5,15,2,20,74,10.3,1021,0,NE,2.2,24,Mar,2017,500
21,74,163,23,56,109,21.8,1009,0,SSE,1.7,16,May,2014,800
20,122,122,2,36,119,23.2,1000.9,0,N,1.4,4,Sep,2017,1500
21,14,30,2,23,44,25,1003.9,0,NE,0.8,2,Sep,2016,300
10,17,36,2,43,52,27.2,1003.6,0,SE,2.5,20,Jun,2016,400
17,8,34,4,21,54,4.3,1018.4,0,WNW,4.5,10,Feb,2018,300
19,151,183,4,42,151.4394,30.2,994,0,SW,1.6,6,Aug,2014,1222.923
8,87,87,15,73,5,-7.3,1027,0,E,0.7,29,Jan,2017,2800
14,161,186,14,38,56,16.3,1003.3,0,SSE,2.5,23,Oct,2015,1200
4,25,43,2,68,10,17.9,1003.8,0,N,1,2,Jun,2015,500
5,129,140,19,,1,-2.7,1024.4,0,N,1.9,20,Feb,2015,2400
0,217,257,39,57,14,-1.625,1013,0,NE,1.2,29,Jan,2018,300
22,139,169,9,31,110,24.7,1000.2,0,E,2,6,Sep,2015,1100
14,,,,,,2.25,1021,0,SW,1.6,25,Jan,2018,1222.923
2,47,131,9,75,6,13.5,1010.9,0,NE,0.9,16,Apr,2015,400
20,223,269,2,117,66,19.3,1006,0,NNE,0.9,1,Oct,2017,1900
13,69,107,25,70,181,32.4,999.3,0,SSW,3.3,17,Jul,2014,700
21,160,212,69,111,5,4.3,1013.8,0,ENE,0.9,2,Mar,2015,3100
17,94,129,22,78,49,8.7,1009.1,0,SSE,3.8,18,Feb,2018,1000
17,19,19,2,10,84,16.5,993.8,0,NNW,3.5,11,May,2016,300
5,80,77,4,61,24,24.8,990.1,0,ENE,0.4,6,Aug,2014,900
16,183,183,7,31,169,24.5,989.4,0,SE,1.7,11,May,2017,1100
14,156,159,19,37,208,28.2,1000.6,0,SSE,3.2,30,Apr,2016,1500
15,106,59,44,36,86,6.5,1019.3,0,SSE,2,16,Feb,2015,1000
20,24,46,2,75,32,14.7,1024.1,0,SW,1.4,24,Oct,2016,800
8,31,31,2,21,94,20.8,999.6,0.2,N,0.9,16,Jul,2016,700
9,59,65,60,51,1,-3.5,1024.4,0,NE,1.3,5,Feb,2015,1800
18,61,94,16,47,95,15.5,1010.6,0,SW,1.3,11,Apr,2015,600
23,44,108,2,93,2,12.7,1020,0,,0,28,Sep,2017,1100
5,19,19,2,31,19,4.2,1012.7,0,N,0.8,14,Oct,2015,400
6,51,51,2,30,6,14.5,1009.3,0,SSW,0.5,25,Sep,2015,700
19,93,119,51,93,23,3.2,1008,0,NE,0.6,10,Feb,2017,3100
20,27,38,2,31,83,19.9,1008.8,0.3,NE,0.9,31,Aug,2016,900
